category,sourceFile,textKey,scene,field,currentText,revisedText,note
ui,src/App.tsx,ui.App.line181.1,全局流程 / 弹窗,continueLabel,继续,,疑似硬编码，修改前确认上下文
ui,src/App.tsx,ui.App.line184.1,全局流程 / 弹窗,title,本月行动完成,,疑似硬编码，修改前确认上下文
event,src/App.tsx,event.App.line204.1,全局流程 / 弹窗,title,事件处理完成,,疑似硬编码，修改前确认上下文
ui,src/App.tsx,ui.App.line249.1,全局流程 / 弹窗,continueLabel,进入下个月,,疑似硬编码，修改前确认上下文
ui,src/App.tsx,ui.App.line252.1,全局流程 / 弹窗,title,本月平稳度过,,疑似硬编码，修改前确认上下文
ui,src/App.tsx,ui.App.line253.1,全局流程 / 弹窗,noEventText,这个月平稳度过，小獭稳稳地完成了自己的节奏。,,疑似硬编码，修改前确认上下文
ui,src/App.tsx,ui.App.line302.1,全局流程 / 弹窗,stringLiteral,当前阶段需要手动处理,,疑似硬编码，修改前确认上下文
ui,src/App.tsx,ui.App.line328.1,全局流程 / 弹窗,title,"正在推进：${formatYearMonth(result.step.currentYear, result.step.currentMonth)}",,动态模板，保留变量；疑似硬编码，修改前确认上下文
ui,src/App.tsx,ui.App.line329.1,全局流程 / 弹窗,subtitle,普通月份会自动继续，遇到关键节点会停下。,,疑似硬编码，修改前确认上下文
ui,src/App.tsx,ui.App.line364.1,全局流程 / 弹窗,continueLabel,继续,,疑似硬编码，修改前确认上下文
ui,src/App.tsx,ui.App.line367.1,全局流程 / 弹窗,title,自动推进摘要,,疑似硬编码，修改前确认上下文
ui,src/App.tsx,ui.App.line368.1,全局流程 / 弹窗,subtitle,推进了 ${monthCount} 个月,,动态模板，保留变量；疑似硬编码，修改前确认上下文
ending,src/App.tsx,ending.App.line514.1,全局流程 / 弹窗,label,结局 CG 解锁,,疑似硬编码，修改前确认上下文
ui,src/App.tsx,ui.App.line516.1,全局流程 / 弹窗,label,年度主题 CG 解锁,,疑似硬编码，修改前确认上下文
event,src/App.tsx,event.App.line518.1,全局流程 / 弹窗,label,事件 CG 解锁,,疑似硬编码，修改前确认上下文
ui,src/App.tsx,ui.App.line519.1,全局流程 / 弹窗,stringLiteral,图鉴解锁,,疑似硬编码，修改前确认上下文
ending,src/App.tsx,ending.App.line521.1,全局流程 / 弹窗,stringLiteral,${item.name} 已加入结局相册。,,动态模板，保留变量；疑似硬编码，修改前确认上下文
annual,src/App.tsx,annual.App.line564.1,总选结算,stringLiteral,继续到总选,,疑似硬编码，修改前确认上下文
b50,src/App.tsx,b50.App.line568.1,B50结算,stringLiteral,继续到 B50,,疑似硬编码，修改前确认上下文
ui,src/App.tsx,ui.App.line572.1,全局流程 / 弹窗,stringLiteral,继续到年度总结,,疑似硬编码，修改前确认上下文
annual,src/App.tsx,annual.App.line576.1,总选结算,stringLiteral,继续到最终总选,,疑似硬编码，修改前确认上下文
ui,src/App.tsx,ui.App.line579.1,全局流程 / 弹窗,stringLiteral,进入下个月,,疑似硬编码，修改前确认上下文
ui,src/App.tsx,ui.App.line480.jsx,全局流程 / 弹窗,description,玩法说明,,疑似硬编码，修改前确认上下文
ui,src/App.tsx,ui.App.line481.jsx,全局流程 / 弹窗,title,11 年偶像生涯,,疑似硬编码，修改前确认上下文
action,src/components/ActionPanel.tsx,action.components.ActionPanel.line9.1,行动选择,stringLiteral,舞台,,疑似硬编码，修改前确认上下文
action,src/components/ActionPanel.tsx,action.components.ActionPanel.line9.2,行动选择,stringLiteral,唱功,,疑似硬编码，修改前确认上下文
action,src/components/ActionPanel.tsx,action.components.ActionPanel.line9.3,行动选择,stringLiteral,舞蹈,,疑似硬编码，修改前确认上下文
action,src/components/ActionPanel.tsx,action.components.ActionPanel.line10.1,行动选择,stringLiteral,粉丝,,疑似硬编码，修改前确认上下文
action,src/components/ActionPanel.tsx,action.components.ActionPanel.line10.2,行动选择,stringLiteral,应援,,疑似硬编码，修改前确认上下文
action,src/components/ActionPanel.tsx,action.components.ActionPanel.line10.3,行动选择,stringLiteral,魅力,,疑似硬编码，修改前确认上下文
action,src/components/ActionPanel.tsx,action.components.ActionPanel.line11.1,行动选择,stringLiteral,影响,,疑似硬编码，修改前确认上下文
action,src/components/ActionPanel.tsx,action.components.ActionPanel.line11.2,行动选择,stringLiteral,资源,,疑似硬编码，修改前确认上下文
action,src/components/ActionPanel.tsx,action.components.ActionPanel.line11.3,行动选择,stringLiteral,粉丝,,疑似硬编码，修改前确认上下文
action,src/components/ActionPanel.tsx,action.components.ActionPanel.line12.1,行动选择,stringLiteral,舞台,,疑似硬编码，修改前确认上下文
action,src/components/ActionPanel.tsx,action.components.ActionPanel.line12.2,行动选择,stringLiteral,舞蹈,,疑似硬编码，修改前确认上下文
action,src/components/ActionPanel.tsx,action.components.ActionPanel.line12.3,行动选择,stringLiteral,唱功,,疑似硬编码，修改前确认上下文
action,src/components/ActionPanel.tsx,action.components.ActionPanel.line13.1,行动选择,stringLiteral,魅力,,疑似硬编码，修改前确认上下文
action,src/components/ActionPanel.tsx,action.components.ActionPanel.line13.2,行动选择,stringLiteral,影响,,疑似硬编码，修改前确认上下文
action,src/components/ActionPanel.tsx,action.components.ActionPanel.line13.3,行动选择,stringLiteral,粉丝,,疑似硬编码，修改前确认上下文
action,src/components/ActionPanel.tsx,action.components.ActionPanel.line14.1,行动选择,stringLiteral,体力,,疑似硬编码，修改前确认上下文
action,src/components/ActionPanel.tsx,action.components.ActionPanel.line14.2,行动选择,stringLiteral,心情,,疑似硬编码，修改前确认上下文
action,src/components/ActionPanel.tsx,action.components.ActionPanel.line14.3,行动选择,stringLiteral,降压,,疑似硬编码，修改前确认上下文
